6,100,24,1,11555.0,76,0.22491192817687988,3840.0,5.0,19.0,20.0,19.0,13.0,0.0,6.0,4.0,7.0,5.0,1.0,1.0
6,100,24,2,11369.0,75,0.4608299732208252,3879.0,4.0,23.0,21.0,16.0,9.0,2.0,1.0,8.0,10.0,4.0,2.0,0.0
6,100,24,3,11872.0,77,0.13986515998840332,3918.0,3.0,19.0,27.0,23.0,5.0,0.0,2.0,7.0,8.0,5.0,1.0,0.0
6,100,24,4,12472.0,78,0.15871000289916992,3891.0,8.0,10.0,28.0,23.0,8.0,1.0,1.0,8.0,8.0,4.0,1.0,0.0
6,100,24,5,12197.0,75,0.18879485130310059,3680.0,8.0,15.0,27.0,18.0,7.0,0.0,3.0,10.0,6.0,5.0,1.0,0.0
6,100,24,6,11362.0,74,0.5024118423461914,3804.0,8.0,15.0,21.0,20.0,9.0,1.0,1.0,11.0,10.0,4.0,0.0,0.0
6,100,24,7,13561.0,77,0.1270279884338379,4003.0,3.0,15.0,27.0,22.0,9.0,1.0,1.0,10.0,3.0,7.0,2.0,0.0
6,100,24,8,11585.0,84,0.1246030330657959,3653.0,16.0,14.0,25.0,21.0,8.0,0.0,1.0,4.0,5.0,4.0,2.0,0.0
6,100,24,9,11186.0,74,0.15383195877075195,3720.0,12.0,6.0,23.0,23.0,9.0,1.0,4.0,9.0,9.0,2.0,2.0,0.0
6,100,24,10,11593.0,80,0.14891815185546875,3935.0,4.0,22.0,26.0,22.0,6.0,0.0,1.0,5.0,11.0,2.0,1.0,0.0
6,200,36,1,23843.0,153,2.5152530670166016,15657.0,11.0,34.0,55.0,30.0,20.0,3.0,3.0,14.0,20.0,6.0,2.0,2.0
6,200,36,2,22502.0,146,1.7355101108551025,15126.0,16.0,28.0,53.0,30.0,14.0,5.0,6.0,18.0,17.0,9.0,4.0,0.0
6,200,36,3,23439.0,154,0.627159833908081,14864.0,15.0,33.0,62.0,22.0,20.0,2.0,8.0,17.0,7.0,9.0,5.0,0.0
6,200,36,4,23882.0,147,0.8454349040985107,15571.0,15.0,28.0,38.0,48.0,17.0,1.0,5.0,15.0,16.0,15.0,1.0,1.0
6,200,36,5,24338.0,141,0.6700320243835449,15550.0,8.0,35.0,40.0,34.0,21.0,3.0,6.0,23.0,14.0,15.0,1.0,0.0
6,200,36,6,22607.0,155,1.8246848583221436,15423.0,13.0,42.0,40.0,43.0,14.0,3.0,5.0,10.0,15.0,12.0,2.0,1.0
6,200,36,7,25065.0,153,1.3649699687957764,14930.0,15.0,39.0,50.0,34.0,13.0,2.0,7.0,14.0,12.0,9.0,3.0,2.0
6,200,36,8,24265.0,148,0.5219810009002686,15545.0,13.0,31.0,54.0,37.0,12.0,1.0,7.0,7.0,21.0,12.0,4.0,1.0
6,200,36,9,23570.0,142,0.5638530254364014,15174.0,10.0,34.0,42.0,33.0,20.0,3.0,8.0,21.0,21.0,6.0,2.0,0.0
6,200,36,10,23494.0,151,1.8197259902954102,15706.0,9.0,33.0,65.0,33.0,10.0,1.0,5.0,12.0,14.0,15.0,3.0,0.0
6,300,48,1,34657.0,230,3.5119469165802,34180.0,27.0,52.0,73.0,53.0,23.0,2.0,5.0,21.0,24.0,12.0,8.0,0.0
6,300,48,2,36651.0,220,6.937546968460083,35503.0,15.0,41.0,77.0,62.0,22.0,3.0,7.0,26.0,25.0,15.0,6.0,1.0
6,300,48,3,37447.0,220,11.221719026565552,34286.0,23.0,41.0,67.0,69.0,19.0,1.0,14.0,18.0,23.0,19.0,4.0,2.0
6,300,48,4,34810.0,228,4.4134581089019775,33432.0,26.0,50.0,72.0,47.0,28.0,5.0,15.0,19.0,22.0,13.0,3.0,0.0
6,300,48,5,35916.0,224,5.073580026626587,34994.0,10.0,55.0,82.0,53.0,22.0,2.0,11.0,21.0,22.0,18.0,4.0,0.0
6,300,48,6,35659.0,221,5.433466911315918,34396.0,24.0,46.0,71.0,55.0,23.0,2.0,9.0,19.0,22.0,25.0,3.0,1.0
6,300,48,7,36160.0,217,7.611427068710327,33966.0,22.0,45.0,68.0,52.0,26.0,4.0,13.0,20.0,32.0,13.0,4.0,1.0
6,300,48,8,35667.0,227,4.767225980758667,34066.0,20.0,62.0,64.0,56.0,20.0,5.0,10.0,16.0,25.0,19.0,1.0,2.0
6,300,48,9,35469.0,228,3.5540969371795654,34111.0,23.0,48.0,77.0,59.0,18.0,3.0,7.0,24.0,24.0,11.0,5.0,1.0
6,300,48,10,35756.0,219,1.757620096206665,34303.0,24.0,49.0,64.0,52.0,24.0,6.0,9.0,16.0,34.0,19.0,3.0,0.0
6,400,60,1,48493.0,288,12.136161804199219,61886.0,21.0,59.0,99.0,70.0,34.0,5.0,16.0,30.0,39.0,16.0,9.0,2.0
6,400,60,2,48731.0,301,13.59342098236084,62083.0,27.0,66.0,97.0,71.0,34.0,6.0,10.0,23.0,40.0,21.0,3.0,2.0
6,400,60,3,47414.0,297,14.37183403968811,61165.0,27.0,65.0,100.0,72.0,26.0,7.0,12.0,36.0,29.0,17.0,8.0,1.0
6,400,60,4,48978.0,298,23.0530788898468,60843.0,27.0,71.0,85.0,80.0,31.0,4.0,16.0,23.0,35.0,20.0,7.0,1.0
6,400,60,5,48255.0,308,21.47518301010132,60611.0,36.0,67.0,97.0,83.0,22.0,3.0,9.0,26.0,31.0,20.0,5.0,1.0
6,400,60,6,48268.0,297,16.93200397491455,62023.0,26.0,63.0,98.0,73.0,30.0,7.0,7.0,33.0,36.0,25.0,0.0,2.0
6,400,60,7,51121.0,295,19.187844038009644,62749.0,18.0,68.0,92.0,80.0,30.0,7.0,13.0,25.0,41.0,21.0,4.0,1.0
6,400,60,8,48922.0,300,11.105622053146362,62089.0,20.0,64.0,100.0,78.0,36.0,2.0,18.0,24.0,29.0,19.0,9.0,1.0
6,400,60,9,48667.0,296,11.310760974884033,61590.0,24.0,69.0,97.0,74.0,27.0,5.0,9.0,35.0,34.0,20.0,6.0,0.0
6,400,60,10,48261.0,298,14.593428134918213,62704.0,17.0,59.0,108.0,70.0,37.0,7.0,13.0,38.0,23.0,23.0,4.0,1.0
6,500,72,1,59082.0,360,44.21168279647827,98800.0,25.0,79.0,105.0,105.0,43.0,3.0,13.0,37.0,47.0,31.0,11.0,1.0
6,500,72,2,60915.0,366,27.923691987991333,94114.0,39.0,81.0,118.0,92.0,32.0,4.0,16.0,37.0,46.0,24.0,9.0,2.0
6,500,72,3,59930.0,364,16.595986127853394,93859.0,35.0,84.0,115.0,87.0,34.0,9.0,22.0,40.0,33.0,30.0,9.0,2.0
6,500,72,4,60378.0,372,59.172821044921875,95436.0,35.0,84.0,115.0,104.0,28.0,6.0,14.0,44.0,28.0,34.0,8.0,0.0
6,500,72,5,60339.0,363,49.13461518287659,94872.0,40.0,72.0,123.0,78.0,45.0,5.0,17.0,37.0,40.0,31.0,10.0,2.0
6,500,72,6,60476.0,388,30.426138162612915,96109.0,32.0,95.0,129.0,89.0,39.0,4.0,12.0,29.0,40.0,24.0,4.0,3.0
6,500,72,7,61739.0,358,39.514962911605835,97303.0,29.0,68.0,113.0,98.0,40.0,10.0,21.0,32.0,42.0,33.0,11.0,3.0
6,500,72,8,62267.0,363,47.18026399612427,97526.0,25.0,77.0,118.0,93.0,41.0,9.0,18.0,38.0,42.0,26.0,10.0,3.0
6,500,72,9,61794.0,382,85.85646080970764,96850.0,35.0,81.0,126.0,83.0,51.0,6.0,13.0,33.0,38.0,24.0,10.0,0.0
6,500,72,10,60042.0,358,150.46862077713013,96834.0,28.0,84.0,104.0,99.0,36.0,7.0,14.0,41.0,45.0,30.0,11.0,1.0
6,600,84,1,74262.0,451,42.164374113082886,138626.0,40.0,96.0,151.0,112.0,43.0,9.0,17.0,40.0,54.0,32.0,4.0,2.0
6,600,84,2,75370.0,431,190.28491592407227,138689.0,37.0,84.0,138.0,116.0,46.0,10.0,24.0,53.0,40.0,35.0,15.0,2.0
6,600,84,3,71730.0,462,191.50591206550598,137041.0,50.0,111.0,148.0,92.0,53.0,8.0,12.0,40.0,36.0,35.0,13.0,2.0
6,600,84,4,73838.0,444,119.73428797721863,140674.0,38.0,89.0,145.0,110.0,55.0,7.0,16.0,40.0,51.0,36.0,9.0,4.0
6,600,84,5,75199.0,448,193.26095700263977,139386.0,37.0,103.0,137.0,114.0,49.0,8.0,16.0,44.0,46.0,30.0,12.0,4.0
6,600,84,6,73083.0,459,95.3538510799408,140559.0,36.0,104.0,137.0,139.0,38.0,5.0,16.0,35.0,37.0,33.0,18.0,2.0
6,600,84,7,73543.0,448,68.7184841632843,137058.0,46.0,97.0,144.0,111.0,40.0,10.0,16.0,46.0,52.0,28.0,9.0,1.0
6,600,84,8,72606.0,455,70.46084189414978,137213.0,38.0,116.0,126.0,115.0,49.0,11.0,19.0,44.0,52.0,24.0,5.0,1.0
6,600,84,9,74675.0,454,52.95151495933533,136259.0,44.0,109.0,147.0,105.0,43.0,6.0,19.0,40.0,47.0,22.0,14.0,4.0
6,600,84,10,74392.0,454,51.598183155059814,138915.0,39.0,104.0,156.0,108.0,40.0,7.0,13.0,48.0,41.0,34.0,9.0,1.0
6,700,96,1,85669.0,536,103.97473788261414,187102.0,39.0,132.0,183.0,112.0,64.0,6.0,24.0,53.0,49.0,28.0,7.0,3.0
6,700,96,2,86052.0,528,504.5611619949341,188634.0,44.0,124.0,154.0,140.0,62.0,4.0,25.0,39.0,60.0,37.0,10.0,1.0
6,700,96,3,85344.0,524,418.9161641597748,189038.0,44.0,119.0,150.0,145.0,59.0,7.0,24.0,51.0,51.0,34.0,14.0,2.0
6,700,96,4,87511.0,527,99.52317214012146,187395.0,52.0,128.0,145.0,130.0,63.0,9.0,17.0,53.0,54.0,28.0,19.0,2.0
6,700,96,5,86907.0,510,147.1202781200409,190450.0,39.0,112.0,170.0,139.0,46.0,4.0,18.0,52.0,66.0,33.0,20.0,1.0
6,700,96,6,86464.0,527,387.2175090312958,187434.0,56.0,112.0,161.0,135.0,50.0,13.0,19.0,51.0,48.0,39.0,14.0,2.0
6,700,96,7,86668.0,530,376.34115290641785,186548.0,51.0,125.0,163.0,131.0,53.0,7.0,21.0,48.0,52.0,33.0,15.0,1.0
6,700,96,8,87598.0,526,114.6228539943695,189414.0,38.0,135.0,167.0,125.0,52.0,9.0,21.0,42.0,58.0,38.0,13.0,2.0
6,700,96,9,85963.0,513,81.53447389602661,185723.0,51.0,127.0,139.0,140.0,48.0,8.0,19.0,59.0,66.0,33.0,10.0,0.0
6,700,96,10,83960.0,527,136.47545504570007,185535.0,47.0,123.0,165.0,131.0,49.0,12.0,29.0,56.0,48.0,28.0,10.0,2.0
6,800,108,1,101882.0,611,286.2187190055847,245601.0,59.0,142.0,193.0,143.0,66.0,8.0,15.0,51.0,76.0,38.0,7.0,2.0
6,800,108,2,99266.0,593,5129.807291030884,242030.0,56.0,124.0,203.0,144.0,58.0,8.0,32.0,58.0,69.0,36.0,11.0,1.0
6,800,108,3,98267.0,617,606.6675181388855,249780.0,56.0,137.0,191.0,165.0,62.0,6.0,14.0,52.0,52.0,53.0,10.0,2.0
6,800,108,4,99159.0,611,1515.4564390182495,248005.0,51.0,147.0,193.0,151.0,57.0,12.0,22.0,38.0,73.0,40.0,15.0,1.0
6,800,108,5,101092.0,614,353.3141601085663,245294.0,55.0,133.0,205.0,148.0,67.0,6.0,28.0,43.0,66.0,34.0,14.0,1.0
6,800,108,6,101086.0,585,457.9481279850006,250608.0,42.0,125.0,180.0,155.0,65.0,18.0,22.0,64.0,71.0,44.0,11.0,3.0
6,800,108,7,99234.0,613,305.3190071582794,243898.0,58.0,148.0,192.0,139.0,62.0,14.0,26.0,49.0,52.0,40.0,20.0,0.0
6,800,108,8,100987.0,589,494.6865439414978,246280.0,50.0,136.0,199.0,142.0,56.0,6.0,21.0,56.0,70.0,38.0,24.0,2.0
6,800,108,9,100406.0,612,622.1641499996185,242732.0,62.0,147.0,188.0,151.0,56.0,8.0,24.0,43.0,69.0,38.0,13.0,1.0
6,800,108,10,99364.0,621,625.2295129299164,244514.0,57.0,161.0,181.0,143.0,69.0,10.0,21.0,51.0,52.0,41.0,11.0,3.0
